title,company,location,apply_url,score,what_fits,whats_missing,why_apply,visa_note,saved_at,status,applied_date,notes
Cloud DevOps Engineer – AWS | Remote,Crossing Hurdles,United States,https://www.linkedin.com/jobs/view/cloud-devops-engineer-%E2%80%93-aws-remote-at-crossing-hurdles-4394777300?position=6&pageNum=0&refId=WKaI3QpQkT8xg0ZWzAzKxg%3D%3D&trackingId=w7MLdTuEfDmySZq4FIQAHw%3D%3D,9,"CI/CD pipelines, Terraform, AWS, Kubernetes, Helm, Prometheus, Grafana, AWS EKS",AWS CloudFormation,Implement and maintain CI/CD pipelines using Terraform and Helm on AWS EKS,not mentioned,2026-04-07 12:08,,,
DevOps Engineer | Remote,Crossing Hurdles,United States,https://www.linkedin.com/jobs/view/devops-engineer-remote-at-crossing-hurdles-4385245633?position=3&pageNum=0&refId=WKaI3QpQkT8xg0ZWzAzKxg%3D%3D&trackingId=NpAljjjv5D4QW2ikBKYrZg%3D%3D,8,"CI/CD pipelines, Terraform, AWS, Kubernetes, Helm, Prometheus, Grafana","New Relic, Datadog",Design and implement monitoring and logging solutions using Prometheus and Grafana,not mentioned,2026-04-07 12:08,,,
Cloud DevOps Engineer – AWS | Remote,Crossing Hurdles,United States,https://www.linkedin.com/jobs/view/cloud-devops-engineer-%E2%80%93-aws-remote-at-crossing-hurdles-4394777300,8,"AWS, Terraform, Python, CI/CD","AWS CloudFormation, AWS IAM",Opportunity to work on AWS-based cloud infrastructure,not mentioned,2026-04-07 12:08,,,
Jr Devops Engineer,OVA.Work,United States,https://www.linkedin.com/jobs/view/jr-devops-engineer-at-ova-work-4398356898,8,"Terraform, AWS, Kubernetes, Helm, Prometheus, Grafana","Ansible, Jenkins",Opportunity to work on cloud infrastructure and DevOps tools,not mentioned,2026-04-07 12:08,,,
Dev Ops Engineer,Experis,United States,https://www.linkedin.com/jobs/view/dev-ops-engineer-at-experis-4394786454,8,"AWS, Terraform, Kubernetes, Helm, Prometheus, Grafana","Azure DevOps, Jenkins",Opportunity to work on DevOps tools and cloud infrastructure,not mentioned,2026-04-07 12:08,,,
Cloud Infrastructure/DevOps Engineer,Tessera Labs,United States,https://www.linkedin.com/jobs/view/cloud-infrastructure-devops-engineer-at-tessera-labs-4394738069,8,"Terraform, Python, Cloud, DevOps","AWS CloudFormation, Ansible",Opportunity to work on cloud infrastructure and DevOps,not mentioned,2026-04-07 12:08,,,
Jr Devops Engineer,OVA.Work,United States,https://www.linkedin.com/jobs/view/jr-devops-engineer-at-ova-work-4398356898?position=1&pageNum=0&refId=WKaI3QpQkT8xg0ZWzAzKxg%3D%3D&trackingId=WzVaTg6dDxfS2Sz6tKYORA%3D%3D,7,"CI/CD pipelines, Terraform, AWS, Kubernetes, Helm","Ansible, Docker Swarm",Implement and maintain CI/CD pipelines using Terraform and Helm,not mentioned,2026-04-07 12:08,,,
Remote Jr DevOps Engineer,Addison Group,United States,https://www.linkedin.com/jobs/view/remote-jr-devops-engineer-at-addison-group-4394743281?position=8&pageNum=0&refId=WKaI3QpQkT8xg0ZWzAzKxg%3D%3D&trackingId=okPSZ5nJP0cM7gWk0BA5Ng%3D%3D,7,"CI/CD pipelines, Terraform, AWS, Kubernetes, Helm","Azure DevOps, Jenkins",Implement and maintain CI/CD pipelines using Terraform and Helm,not mentioned,2026-04-07 12:08,,,
Cloud DevOps Engineer,ArcheSys Inc,United States,https://www.linkedin.com/jobs/view/cloud-devops-engineer-at-archesys-inc-4398344105,7,"Cloud, DevOps, Python, CI/CD","Docker, Kubernetes",Chance to work on cloud-based projects with a focus on DevOps,not mentioned,2026-04-07 12:08,,,
DevOps Engineer,"BioIntelliSense, Inc",United States,https://www.linkedin.com/jobs/view/devops-engineer-at-biointellisense-inc-4398337691,7,"DevOps, CI/CD, Python","Ansible, Jenkins",Opportunity to work on DevOps projects in a fast-paced environment,not mentioned,2026-04-07 12:08,,,
DevOps Engineer | Remote,Crossing Hurdles,United States,https://www.linkedin.com/jobs/view/devops-engineer-remote-at-crossing-hurdles-4385245633,7,"DevOps, CI/CD, Python","GitLab, Bitbucket",Chance to work remotely on DevOps projects,not mentioned,2026-04-07 12:08,,,
Cloud Engineer(AWS/GCP/Azure) | Remote,Crossing Hurdles,United States,https://www.linkedin.com/jobs/view/cloud-engineer-aws-gcp-azure-remote-at-crossing-hurdles-4385248602,7,"AWS, Azure, Cloud, Python","GCP, CloudFormation","Opportunity to work on cloud-based projects with a focus on AWS, Azure, and GCP",not mentioned,2026-04-07 12:08,,,
"Software Engineer, Full-Stack",Loop,United States,https://www.linkedin.com/jobs/view/software-engineer-full-stack-at-loop-4398089906,7,"Python, automation tools, CI/CD pipelines","React, Redux, TypeScript",Opportunity to work on a full-stack project with a focus on automation and CI/CD pipelines,Not mentioned,2026-04-07 12:08,,,
Software Engineer (Fullstack),PayPal,United States,https://www.linkedin.com/jobs/view/software-engineer-fullstack-at-paypal-4397970555,7,"Python, automation tools, CI/CD pipelines","Java, Spring Boot, Docker",Chance to work on a full-stack project with a focus on automation and CI/CD pipelines in a large-scale e-commerce platform,Not mentioned,2026-04-07 12:08,,,
Cloud Engineer,Kforce Inc,United States,https://www.linkedin.com/jobs/view/cloud-engineer-at-kforce-inc-4383401007,7,"AWS, Terraform, Kubernetes, Docker","Azure, Google Cloud",Chance to work on cloud infrastructure and migration projects,not mentioned,2026-04-07 12:08,,,
MLOps engineer,Luxoft,United States,https://www.linkedin.com/jobs/view/mlops-engineer-at-luxoft-4398379221,7,"Python, Terraform, Kubernetes, Helm, CI/CD","Docker Compose, Kubernetes Operator, MLflow",Design and implement MLOps pipelines for machine learning models,not mentioned,2026-04-07 12:08,,,
MLOps engineer,Luxoft,United States,https://www.linkedin.com/jobs/view/mlops-engineer-at-luxoft-4398536659,7,"Python, Terraform, Kubernetes, Helm, CI/CD","Docker Compose, Kubernetes Operator, MLflow",Develop and maintain MLOps infrastructure for large-scale machine learning models,not mentioned,2026-04-07 12:08,,,
MLOps Engineer,Sev1Tech LLC,United States,https://www.linkedin.com/jobs/view/mlops-engineer-at-sev1tech-llc-4339477615,7,"Python, Terraform, Kubernetes, Helm, CI/CD","Docker Compose, Kubernetes Operator, MLflow",Design and implement MLOps pipelines for machine learning models,not mentioned,2026-04-07 12:08,,,
MLOps Engineer,Sev1Tech LLC,United States,https://www.linkedin.com/jobs/view/mlops-engineer-at-sev1tech-llc-4339827315,7,"Python, Terraform, Kubernetes, Helm, CI/CD","Docker Compose, Kubernetes Operator, MLflow",Develop and maintain MLOps infrastructure for large-scale machine learning models,not mentioned,2026-04-07 12:08,,,
AI – Infrastructure as Code – Platform Engineer,Blue Signal Search,United States,https://www.linkedin.com/jobs/view/ai-%E2%80%93-infrastructure-as-code-%E2%80%93-platform-engineer-at-blue-signal-search-4398252709,7,"Infrastructure as Code, Terraform, Cloud","Ansible, AWS CloudFormation, Azure",Opportunity to work on infrastructure as code and platform engineering,not mentioned,2026-04-07 12:08,,,
Web Software Engineer,PayPal,United States,https://www.linkedin.com/jobs/view/web-software-engineer-at-paypal-4384407715,6,"Python, automation tools, CI/CD pipelines","JavaScript, React, Node.js",Opportunity to work on a web-based project with a focus on automation and CI/CD pipelines in a large-scale e-commerce platform,Not mentioned,2026-04-07 12:08,,,
"Senior Software Engineer, MLOps",FieldAI,United States,https://www.linkedin.com/jobs/view/senior-software-engineer-mlops-at-fieldai-4386532027,6,"Python, Terraform, Kubernetes, Helm, CI/CD","Docker Compose, Kubernetes Operator, MLflow, 5+ years of experience",Design and implement MLOps pipelines for machine learning models,not mentioned,2026-04-07 12:08,,,
Jr Devops Engineer,OVA.Work,United States,https://www.linkedin.com/jobs/view/jr-devops-engineer-at-ova-work-4398356898?position=1&pageNum=0&refId=vOJHI7irVvJ11WxHmjKkPg%3D%3D&trackingId=iWDKVmZ8p8qz%2FAzk%2FNZOqQ%3D%3D,8,"CI/CD pipelines, AWS, Terraform, Docker, Kubernetes, Helm, Prometheus, Grafana","Ansible, Jenkins",Opportunity to work with a team to design and implement CI/CD pipelines,Not mentioned,2026-04-07 12:26,,,
Cloud DevOps Engineer,ArcheSys Inc,United States,https://www.linkedin.com/jobs/view/cloud-devops-engineer-at-archesys-inc-4398344105?position=5&pageNum=0&refId=vOJHI7irVvJ11WxHmjKkPg%3D%3D&trackingId=MOD40ceCH3g4Bd0XN6OP8Q%3D%3D,8,"AWS, Terraform, Docker, Kubernetes, Helm, Prometheus, Grafana","Azure, Jenkins, Ansible",Chance to work on a team that values cloud-based infrastructure and automation,Not mentioned,2026-04-07 12:26,,,
Cloud DevOps Engineer – AWS | Remote,Crossing Hurdles,United States,https://www.linkedin.com/jobs/view/cloud-devops-engineer-%E2%80%93-aws-remote-at-crossing-hurdles-4394777300?position=6&pageNum=0&refId=vOJHI7irVvJ11WxHmjKkPg%3D%3D&trackingId=AwoEDqAVNp%2F%2Fs4DdSRTMdA%3D%3D,8,"AWS, Terraform, Docker, Kubernetes, Helm, Prometheus, Grafana","Azure, Jenkins, Ansible",Opportunity to work remotely and contribute to the development of a cloud-based platform,Not mentioned,2026-04-07 12:26,,,
DevOps Engineer,SES Corporation,United States,https://www.linkedin.com/jobs/view/devops-engineer-at-ses-corporation-4398308536?position=2&pageNum=0&refId=vOJHI7irVvJ11WxHmjKkPg%3D%3D&trackingId=0jpUPZAXo3yMJGBRUgo2RA%3D%3D,7,"AWS, Terraform, Docker, Kubernetes, Helm, Prometheus, Grafana","Azure, Jenkins, Ansible",Chance to work on a team that values automation and infrastructure as code,Not mentioned,2026-04-07 12:26,,,
